Source,Target,Type
26,27,Undirected
0,1,Undirected
0,3,Undirected
0,9,Undirected
0,26,Undirected
1,3,Undirected
1,9,Undirected
1,26,Undirected
3,9,Undirected
3,26,Undirected
9,26,Undirected
5,9,Undirected
5,9,Undirected
9,18,Undirected
9,18,Undirected
9,18,Undirected
0,3,Undirected
0,4,Undirected
0,9,Undirected
3,4,Undirected
3,9,Undirected
4,9,Undirected
9,26,Undirected
9,18,Undirected
9,18,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,8,Undirected
5,9,Undirected
5,9,Undirected
5,9,Undirected
5,9,Undirected
5,9,Undirected
5,9,Undirected
5,9,Undirected
5,9,Undirected
5,9,Undirected
5,9,Undirected
5,9,Undirected
3,9,Undirected
5,9,Undirected
5,9,Undirected
5,9,Undirected
5,9,Undirected
5,9,Undirected
5,9,Undirected
5,9,Undirected
5,11,Undirected
9,11,Undirected
5,9,Undirected
5,9,Undirected
0,1,Undirected
0,9,Undirected
1,6,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,1,Undirected
0,9,Undirected
0,1,Undirected
0,1,Undirected
6,27,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,1,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,1,Undirected
0,3,Undirected
0,5,Undirected
0,9,Undirected
3,5,Undirected
3,9,Undirected
5,9,Undirected
5,9,Undirected
0,9,Undirected
0,1,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,1,Undirected
0,3,Undirected
0,27,Undirected
1,3,Undirected
1,27,Undirected
3,27,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,1,Undirected
0,9,Undirected
0,27,Undirected
1,9,Undirected
1,27,Undirected
9,27,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
1,27,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,1,Undirected
0,3,Undirected
1,3,Undirected
0,1,Undirected
3,9,Undirected
3,9,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,1,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,1,Undirected
3,9,Undirected
3,9,Undirected
9,26,Undirected
3,9,Undirected
0,18,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
5,9,Undirected
5,9,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,3,Undirected
1,3,Undirected
0,27,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,5,Undirected
0,9,Undirected
3,5,Undirected
3,9,Undirected
5,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,27,Undirected
0,3,Undirected
0,4,Undirected
0,9,Undirected
3,4,Undirected
3,9,Undirected
4,9,Undirected
0,3,Undirected
0,4,Undirected
0,9,Undirected
3,4,Undirected
3,9,Undirected
4,9,Undirected
3,9,Undirected
0,27,Undirected
0,3,Undirected
0,5,Undirected
0,9,Undirected
3,5,Undirected
3,9,Undirected
5,9,Undirected
0,3,Undirected
0,5,Undirected
0,9,Undirected
3,5,Undirected
3,9,Undirected
5,9,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,1,Undirected
5,9,Undirected
0,3,Undirected
0,5,Undirected
0,9,Undirected
3,5,Undirected
3,9,Undirected
5,9,Undirected
3,9,Undirected
0,1,Undirected
0,5,Undirected
0,9,Undirected
1,5,Undirected
1,9,Undirected
5,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,1,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,5,Undirected
0,5,Undirected
3,9,Undirected
14,16,Undirected
14,15,Undirected
14,16,Undirected
16,15,Undirected
16,16,Undirected
15,16,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,1,Undirected
0,27,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,3,Undirected
0,4,Undirected
0,9,Undirected
3,4,Undirected
3,9,Undirected
4,9,Undirected
5,9,Undirected
0,1,Undirected
0,9,Undirected
0,1,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
18,27,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,3,Undirected
0,4,Undirected
3,4,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
1,5,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,1,Undirected
0,5,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,5,Undirected
0,9,Undirected
3,5,Undirected
3,9,Undirected
5,9,Undirected
0,3,Undirected
0,5,Undirected
0,9,Undirected
3,5,Undirected
3,9,Undirected
5,9,Undirected
0,3,Undirected
0,5,Undirected
0,9,Undirected
3,5,Undirected
3,9,Undirected
5,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,3,Undirected
0,5,Undirected
0,9,Undirected
3,5,Undirected
3,9,Undirected
5,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,1,Undirected
0,1,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
3,9,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,1,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
5,9,Undirected
0,1,Undirected
0,3,Undirected
0,4,Undirected
3,4,Undirected
0,1,Undirected
0,9,Undirected
0,3,Undirected
0,5,Undirected
0,9,Undirected
3,5,Undirected
3,9,Undirected
5,9,Undirected
0,3,Undirected
0,5,Undirected
0,9,Undirected
3,5,Undirected
3,9,Undirected
5,9,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,1,Undirected
0,3,Undirected
0,9,Undirected
0,26,Undirected
1,3,Undirected
1,9,Undirected
1,26,Undirected
3,9,Undirected
3,26,Undirected
9,26,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,5,Undirected
0,6,Undirected
3,5,Undirected
3,6,Undirected
5,6,Undirected
0,1,Undirected
0,26,Undirected
0,27,Undirected
1,26,Undirected
1,27,Undirected
26,27,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,1,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,1,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,3,Undirected
0,4,Undirected
0,9,Undirected
3,4,Undirected
3,9,Undirected
4,9,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,3,Undirected
0,4,Undirected
0,9,Undirected
3,4,Undirected
3,9,Undirected
4,9,Undirected
3,5,Undirected
3,9,Undirected
0,1,Undirected
0,1,Undirected
18,27,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,1,Undirected
0,3,Undirected
0,9,Undirected
0,27,Undirected
1,3,Undirected
1,9,Undirected
1,27,Undirected
3,9,Undirected
3,27,Undirected
9,27,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,1,Undirected
0,1,Undirected
3,9,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
1,3,Undirected
1,5,Undirected
3,5,Undirected
0,27,Undirected
3,9,Undirected
3,9,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,3,Undirected
0,4,Undirected
0,9,Undirected
3,4,Undirected
3,9,Undirected
4,9,Undirected
0,3,Undirected
0,4,Undirected
0,9,Undirected
3,4,Undirected
3,9,Undirected
4,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,5,Undirected
0,9,Undirected
3,5,Undirected
3,9,Undirected
5,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,5,Undirected
0,9,Undirected
3,5,Undirected
3,9,Undirected
5,9,Undirected
0,3,Undirected
0,5,Undirected
0,9,Undirected
3,5,Undirected
3,9,Undirected
5,9,Undirected
3,9,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,27,Undirected
0,27,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,5,Undirected
0,9,Undirected
3,5,Undirected
3,9,Undirected
5,9,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,3,Undirected
0,4,Undirected
3,4,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,1,Undirected
0,1,Undirected
0,27,Undirected
0,1,Undirected
0,3,Undirected
0,4,Undirected
0,9,Undirected
3,4,Undirected
3,9,Undirected
4,9,Undirected
1,9,Undirected
0,1,Undirected
0,3,Undirected
0,4,Undirected
0,9,Undirected
3,4,Undirected
3,9,Undirected
4,9,Undirected
0,3,Undirected
0,4,Undirected
0,9,Undirected
3,4,Undirected
3,9,Undirected
4,9,Undirected
0,27,Undirected
0,1,Undirected
3,9,Undirected
14,16,Undirected
14,15,Undirected
14,16,Undirected
16,15,Undirected
16,16,Undirected
15,16,Undirected
14,16,Undirected
14,15,Undirected
14,16,Undirected
16,15,Undirected
16,16,Undirected
15,16,Undirected
0,3,Undirected
0,5,Undirected
0,6,Undirected
3,5,Undirected
3,6,Undirected
5,6,Undirected
0,1,Undirected
0,1,Undirected
0,18,Undirected
0,18,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,3,Undirected
0,5,Undirected
0,9,Undirected
3,5,Undirected
3,9,Undirected
5,9,Undirected
0,3,Undirected
0,5,Undirected
0,9,Undirected
3,5,Undirected
3,9,Undirected
5,9,Undirected
0,1,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,27,Undirected
0,3,Undirected
0,4,Undirected
0,9,Undirected
3,4,Undirected
3,9,Undirected
4,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,4,Undirected
0,9,Undirected
3,4,Undirected
3,9,Undirected
4,9,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,3,Undirected
0,5,Undirected
0,9,Undirected
3,5,Undirected
3,9,Undirected
5,9,Undirected
3,9,Undirected
0,18,Undirected
0,18,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,3,Undirected
0,5,Undirected
0,9,Undirected
3,5,Undirected
3,9,Undirected
5,9,Undirected
0,3,Undirected
0,5,Undirected
0,6,Undirected
3,5,Undirected
3,6,Undirected
5,6,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,3,Undirected
0,4,Undirected
0,9,Undirected
3,4,Undirected
3,9,Undirected
4,9,Undirected
0,1,Undirected
0,3,Undirected
0,5,Undirected
0,9,Undirected
3,5,Undirected
3,9,Undirected
5,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,1,Undirected
0,3,Undirected
0,9,Undirected
1,3,Undirected
1,9,Undirected
3,9,Undirected
0,1,Undirected
3,9,Undirected
3,9,Undirected
0,1,Undirected
3,9,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,18,Undirected
0,18,Undirected
0,3,Undirected
0,5,Undirected
0,9,Undirected
3,5,Undirected
3,9,Undirected
5,9,Undirected
0,3,Undirected
0,4,Undirected
0,9,Undirected
3,4,Undirected
3,9,Undirected
4,9,Undirected
0,3,Undirected
0,4,Undirected
0,9,Undirected
3,4,Undirected
3,9,Undirected
4,9,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,3,Undirected
0,4,Undirected
0,9,Undirected
3,4,Undirected
3,9,Undirected
4,9,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,26,Undirected
0,27,Undirected
1,26,Undirected
1,27,Undirected
26,27,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,3,Undirected
0,4,Undirected
0,9,Undirected
3,4,Undirected
3,9,Undirected
4,9,Undirected
0,3,Undirected
0,4,Undirected
0,9,Undirected
3,4,Undirected
3,9,Undirected
4,9,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,1,Undirected
0,3,Undirected
0,4,Undirected
0,9,Undirected
0,27,Undirected
3,4,Undirected
3,9,Undirected
3,27,Undirected
4,9,Undirected
4,27,Undirected
9,27,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,1,Undirected
0,5,Undirected
1,5,Undirected
1,5,Undirected
0,1,Undirected
0,5,Undirected
1,5,Undirected
0,1,Undirected
0,5,Undirected
1,5,Undirected
0,1,Undirected
0,5,Undirected
1,5,Undirected
0,18,Undirected
9,18,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
9,18,Undirected
9,18,Undirected
9,18,Undirected
0,3,Undirected
0,4,Undirected
0,9,Undirected
3,4,Undirected
3,9,Undirected
4,9,Undirected
0,3,Undirected
0,4,Undirected
0,9,Undirected
3,4,Undirected
3,9,Undirected
4,9,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,3,Undirected
0,5,Undirected
0,9,Undirected
3,5,Undirected
3,9,Undirected
5,9,Undirected
0,1,Undirected
0,1,Undirected
0,3,Undirected
0,4,Undirected
0,9,Undirected
3,4,Undirected
3,9,Undirected
4,9,Undirected
0,3,Undirected
0,4,Undirected
0,9,Undirected
3,4,Undirected
3,9,Undirected
4,9,Undirected
0,1,Undirected
0,26,Undirected
0,27,Undirected
1,26,Undirected
1,27,Undirected
26,27,Undirected
0,3,Undirected
0,5,Undirected
0,9,Undirected
3,5,Undirected
3,9,Undirected
5,9,Undirected
0,3,Undirected
0,4,Undirected
0,9,Undirected
3,4,Undirected
3,9,Undirected
4,9,Undirected
0,3,Undirected
0,4,Undirected
0,9,Undirected
3,4,Undirected
3,9,Undirected
4,9,Undirected
0,3,Undirected
0,4,Undirected
0,9,Undirected
3,4,Undirected
3,9,Undirected
4,9,Undirected
0,3,Undirected
0,4,Undirected
0,9,Undirected
3,4,Undirected
3,9,Undirected
4,9,Undirected
0,3,Undirected
0,4,Undirected
0,9,Undirected
3,4,Undirected
3,9,Undirected
4,9,Undirected
0,1,Undirected
3,9,Undirected
0,1,Undirected
0,1,Undirected
0,27,Undirected
3,9,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,27,Undirected
0,3,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,27,Undirected
0,1,Undirected
0,1,Undirected
0,3,Undirected
0,5,Undirected
0,9,Undirected
3,5,Undirected
3,9,Undirected
5,9,Undirected
0,1,Undirected
0,1,Undirected
0,1,Undirected
0,9,Undirected
1,9,Undirected
0,3,Undirected
0,4,Undirected
0,9,Undirected
3,4,Undirected
3,9,Undirected
4,9,Undirected
0,3,Undirected
0,5,Undirected
0,9,Undirected
3,5,Undirected
3,9,Undirected
5,9,Undirected
0,3,Undirected
0,4,Undirected
0,9,Undirected
3,4,Undirected
3,9,Undirected
4,9,Undirected
0,1,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
3,9,Undirected
0,3,Undirected
0,9,Undirected
0,18,Undirected
3,9,Undirected
3,18,Undirected
9,18,Undirected
18,27,Undirected
0,1,Undirected
0,26,Undirected
0,27,Undirected
1,26,Undirected
1,27,Undirected
26,27,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
9,18,Undirected
0,3,Undirected
3,18,Undirected
5,18,Undirected
0,3,Undirected
0,4,Undirected
0,9,Undirected
3,4,Undirected
3,9,Undirected
4,9,Undirected
0,1,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,3,Undirected
0,4,Undirected
0,9,Undirected
3,4,Undirected
3,9,Undirected
4,9,Undirected
0,5,Undirected
0,9,Undirected
5,9,Undirected
9,18,Undirected
0,5,Undirected
0,9,Undirected
5,9,Undirected
0,5,Undirected
0,9,Undirected
5,9,Undirected
0,3,Undirected
0,4,Undirected
0,9,Undirected
3,4,Undirected
3,9,Undirected
4,9,Undirected
0,27,Undirected
14,16,Undirected
14,15,Undirected
14,16,Undirected
16,15,Undirected
16,16,Undirected
15,16,Undirected
0,3,Undirected
0,5,Undirected
0,9,Undirected
3,5,Undirected
3,9,Undirected
5,9,Undirected
0,18,Undirected
0,18,Undirected
1,27,Undirected
0,3,Undirected
0,5,Undirected
0,9,Undirected
3,5,Undirected
3,9,Undirected
5,9,Undirected
0,3,Undirected
0,5,Undirected
0,9,Undirected
3,5,Undirected
3,9,Undirected
5,9,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,1,Undirected
0,3,Undirected
0,5,Undirected
0,9,Undirected
3,5,Undirected
3,9,Undirected
5,9,Undirected
0,1,Undirected
0,1,Undirected
0,3,Undirected
0,4,Undirected
0,9,Undirected
3,4,Undirected
3,9,Undirected
4,9,Undirected
0,1,Undirected
0,1,Undirected
0,26,Undirected
0,27,Undirected
1,26,Undirected
1,27,Undirected
26,27,Undirected
0,1,Undirected
0,18,Undirected
0,26,Undirected
0,27,Undirected
1,18,Undirected
1,26,Undirected
1,27,Undirected
18,26,Undirected
18,27,Undirected
26,27,Undirected
0,27,Undirected
0,1,Undirected
0,18,Undirected
0,27,Undirected
1,18,Undirected
1,27,Undirected
18,27,Undirected
9,18,Undirected
0,1,Undirected
0,3,Undirected
0,9,Undirected
0,18,Undirected
1,3,Undirected
1,9,Undirected
1,18,Undirected
3,9,Undirected
3,18,Undirected
9,18,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,1,Undirected
0,18,Undirected
1,18,Undirected
9,18,Undirected
9,18,Undirected
9,18,Undirected
18,27,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
0,1,Undirected
0,18,Undirected
1,18,Undirected
0,1,Undirected
0,18,Undirected
0,27,Undirected
1,18,Undirected
1,27,Undirected
18,27,Undirected
0,18,Undirected
9,18,Undirected
9,18,Undirected
9,18,Undirected
9,18,Undirected
9,18,Undirected
18,27,Undirected
9,18,Undirected
9,18,Undirected
9,18,Undirected
9,18,Undirected
9,18,Undirected
9,18,Undirected
9,18,Undirected
9,18,Undirected
9,18,Undirected
9,18,Undirected
0,1,Undirected
0,3,Undirected
1,3,Undirected
9,18,Undirected
9,18,Undirected
9,18,Undirected
0,27,Undirected
9,18,Undirected
9,18,Undirected
9,18,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
9,18,Undirected
0,9,Undirected
9,18,Undirected
9,18,Undirected
9,18,Undirected
9,18,Undirected
9,18,Undirected
0,1,Undirected
0,3,Undirected
0,5,Undirected
0,9,Undirected
3,5,Undirected
3,9,Undirected
5,9,Undirected
0,2,Undirected
0,3,Undirected
0,5,Undirected
0,9,Undirected
3,5,Undirected
3,9,Undirected
5,9,Undirected
9,18,Undirected
0,1,Undirected
0,27,Undirected
1,27,Undirected
9,18,Undirected
9,18,Undirected
9,18,Undirected
9,18,Undirected
9,18,Undirected
9,18,Undirected
9,18,Undirected
9,18,Undirected
9,18,Undirected
9,18,Undirected
9,18,Undirected
