barcode,series,control symbol,title,contents dates,contents start year,contents end year,original access status,original access decision reasons,original access decision date,current access status,current access decision reasons,current access decision date,days closed,years closed,url
1745210,A1838,73/1/3/13 PART 23,Yugoslavia - Foreign policy - Extremism - General,1979 - 1979,1979,1979,Closed,Withheld pending adv,2016-04-19 00:00:00,Open with exception,33(1)(a) | 33(1)(d) | Withheld pending adv,2017-08-29 00:00:00,497,1 years 132 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1745210
1745212,A1838,73/1/3/13 PART 25,Yugoslavia - Foreign policy - Extremism - General,1979 - 1979,1979,1979,Closed,Withheld pending adv,2016-04-19 00:00:00,Open with exception,33(1)(a) | Withheld pending adv,2017-10-18 00:00:00,547,1 years 182 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1745212
1746448,A1838,186/11/4 PART 9,Sri Lanka - Relations with India,1985 - 1986,1985,1986,Closed,Withheld pending adv,2016-04-18 00:00:00,Open with exception,33(1)(a) | Withheld pending adv,2017-04-12 00:00:00,359,0 years 359 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1746448
1746656,A1838,189/7/1 PART 18,Pakistan - Foreign policy - General,1980 - 1980,1980,1980,Closed,Withheld pending adv,2016-04-18 00:00:00,Open with exception,Withheld pending adv,2017-01-25 00:00:00,282,0 years 282 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1746656
1747702,A1838,169/10/1 PART 55,India - Relations with Australia,1985 - 1986,1985,1986,Closed,Withheld pending adv,2013-12-19 00:00:00,Open with exception,33(1)(a),2017-06-27 00:00:00,1286,3 years 190 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1747702
1747706,A1838,169/10/1 PART 60,India - Relations with Australia,1988 - 1988,1988,1988,Closed,Withheld pending adv,2016-09-15 00:00:00,Open with exception,33(1)(a) | 33(1)(g),2017-06-15 00:00:00,273,0 years 273 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1747706
1747707,A1838,169/10/1 PART 61,India - Relations with Australia,1988 - 1988,1988,1988,Closed,Withheld pending adv,2016-09-15 00:00:00,Open with exception,33(1)(a),2017-06-15 00:00:00,273,0 years 273 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1747707
1747837,A1838,169/11/52 PART 22,India - Relations with USSR [Union of Soviet Socialist Republics],1979 - 1980,1979,1980,Closed,Withheld pending adv,2016-04-19 00:00:00,Open with exception,33(1)(a),2017-06-23 00:00:00,430,1 years 65 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1747837
1747853,A1838,169/11/87 PART 38,India - Relations with China,1978 - 1979,1978,1979,Closed,Withheld pending adv,2016-05-03 00:00:00,Open with exception,33(1)(a) | Withheld pending adv,2017-08-24 00:00:00,478,1 years 113 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1747853
1748989,A1838,190/2/9 PART 3,Zimbabwe - Internal security,1983 - 1984,1983,1984,Closed,Withheld pending adv,2012-04-24 00:00:00,Open with exception,33(1)(a) | Withheld pending adv,2017-02-20 00:00:00,1763,4 years 302 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1748989
1749130,A1838,190/10/11/1/1 PART 4,"Australian visitors to Zimbabwe - Individuals, abduction of tourists",1982 - 1983,1982,1983,Closed,Withheld pending adv,2012-04-24 00:00:00,Open with exception,33(1)(a),2017-03-09 00:00:00,1780,4 years 319 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1749130
1749554,A1838,193/10/1 PART 24,Iran - Relations with Australia - Political,1979 - 1979,1979,1979,Closed,Withheld pending adv,2010-06-10 00:00:00,Open,,2017-01-10 00:00:00,2406,6 years 215 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1749554
1749852,A1838,199/11/38 PART 1,Saudi Arabia - Relations with United Arab Republic,1971 - 1980,1971,1980,Closed,Withheld pending adv,2016-04-18 00:00:00,Open with exception,33(1)(a),2017-01-10 00:00:00,267,0 years 267 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1749852
1753059,A1838,233/9/1 PART 7,Cuba - Relations with Australia,1980 - 1980,1980,1980,Closed,Withheld pending adv,2016-05-25 00:00:00,Open with exception,33(1)(a) | 33(1)(d),2017-12-05 00:00:00,559,1 years 194 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1753059
1753066,A1838,233/9/1 PART 9,Cuba - Relations with Australia,1981 - 1981,1981,1981,Closed,Withheld pending adv,2016-05-30 00:00:00,Open with exception,33(1)(a),2017-07-03 00:00:00,399,1 years 34 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1753066
1753068,A1838,233/9/1 PART 11,Cuba - Relations with Australia,1983 - 1984,1983,1984,Closed,Withheld pending adv,2016-05-16 00:00:00,Open with exception,33(1)(a),2017-05-22 00:00:00,371,1 years 6 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1753068
1754271,A1838,680/7/7 PART 2,Export of civil aircraft,1974 - 1978,1974,1978,Closed,Withheld pending adv,2012-01-11 00:00:00,Open,,2017-10-11 00:00:00,2100,5 years 274 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1754271
1755341,A1838,684/2/2 PART 2,NATO - Relations with Australia,1983 - 1987,1983,1987,Closed,Withheld pending adv,2016-11-08 00:00:00,Open,,2017-11-28 00:00:00,385,1 years 20 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1755341
1338803,A1838,189/11/107 PART 1,Pakistan - Relations with Burma,1949 - 1978,1949,1978,Closed,Withheld pending adv,2011-07-06 00:00:00,Open with exception,33(1)(a),2017-06-28 00:00:00,2184,5 years 358 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1338803
1389006,A1838,519/1 PART 4,Formosa political situation,1950 - 1953,1950,1953,Closed,Withheld pending adv,2014-06-10 00:00:00,Open with exception,33(1)(a),2017-02-21 00:00:00,987,2 years 257 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1389006
1389012,A1838,528/1 PART 5,Hong Kong - General,1967 - 1968,1967,1968,Closed,Withheld pending adv,2012-01-09 00:00:00,Open with exception,33(1)(a),2017-07-03 00:00:00,2002,5 years 176 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1389012
1755438,A1838,686/1 PART 43,ANZUS - Regional defence organisation - Defence of South Pacific and South East Asia - Tripartite security pact,1985 - 1985,1985,1985,Closed,Withheld pending adv,2013-11-27 00:00:00,Open with exception,33(1)(a),2017-04-04 00:00:00,1224,3 years 128 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1755438
1755557,A1838,762/2 PART 4,Hong Kong - Reports on economic developments,1979 - 1981,1979,1981,Closed,Withheld pending adv,2012-01-20 00:00:00,Open,,2017-07-03 00:00:00,1991,5 years 165 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1755557
1755632,A1838,766/1 PART 23,China - Economic relations with Australia,1975 - 1976,1975,1976,Closed,Withheld pending adv,2012-02-23 00:00:00,Open with exception,33(1)(a),2017-10-25 00:00:00,2071,5 years 245 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1755632
1757330,A1838,696/2/2/1 PART 18,Defence co-operation with Indonesia,1979 - 1980,1979,1980,Closed,Withheld pending adv,2010-05-17 00:00:00,Open with exception,33(1)(a),2017-07-03 00:00:00,2604,7 years 47 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1757330
1758772,A1838,907/2 PART 23,United Nations Security Council - Elections,1978 - 1979,1978,1979,Closed,Withheld pending adv,2016-10-10 00:00:00,Open,,2017-12-05 00:00:00,421,1 years 56 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1758772
1758773,A1838,907/2 PART 26,United Nations Security Council - Elections,1982 - 1983,1982,1983,Closed,Withheld pending adv,2016-04-05 00:00:00,Open,,2017-12-05 00:00:00,609,1 years 244 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1758773
1389139,A1838,528/1/4 PART 7,Hong Kong - Communist activities within the colony,1967 - 1967,1967,1967,Closed,Withheld pending adv,2010-06-11 00:00:00,Open with exception,33(1)(a),2017-07-11 00:00:00,2587,7 years 30 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1389139
1389514,A1838,338/1 PART 53,"South Pacific - Condominium territories - Vanuatu - Administration, general",1980 - 1980,1980,1980,Closed,Withheld pending adv,2012-08-16 00:00:00,Open with exception,33(1)(a) | Withheld pending adv,2017-05-17 00:00:00,1735,4 years 274 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1389514
1389607,A1838,314/8/1 PART 3,Western Samoa - Relations with Australia - General,1970 - 1976,1970,1976,Closed,Withheld pending adv,2011-08-15 00:00:00,Open,,2017-06-21 00:00:00,2137,5 years 311 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1389607
1389896,A1838,323/1 PART 13,New Caledonia - Political developments - General,1977 - 1978,1977,1978,Closed,Withheld pending adv,2011-04-27 00:00:00,Open with exception,33(1)(a),2017-02-07 00:00:00,2113,5 years 287 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1389896
1504852,A1838,3027/2/9/3 PART 6,Malaysia - Internal security - Students and political detainees,1978 - 1982,1978,1982,Closed,Withheld pending adv,2015-05-06 00:00:00,Open with exception,33(1)(a),2017-08-23 00:00:00,840,2 years 110 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1504852
1505180,A1838,3020/11/87 PART 28,North Vietnam - Relations with China,1978 - 1978,1978,1978,Closed,Withheld pending adv,2012-08-24 00:00:00,Open with exception,33(1)(a) | Withheld pending adv,2017-10-30 00:00:00,1893,5 years 67 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1505180
1505639,A1838,3027/11/87 PART 13,Malaysia - Relations with China,1977 - 1980,1977,1980,Closed,Withheld pending adv,2015-02-03 00:00:00,Open with exception,33(1)(a),2017-10-12 00:00:00,982,2 years 252 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1505639
1505720,A1838,3038/2/1 PART 27,Portuguese Timor - Political and General,1983 - 1983,1983,1983,Closed,Withheld pending adv,2016-04-18 00:00:00,Open with exception,33(1)(a) | Withheld pending adv,2017-02-16 00:00:00,304,0 years 304 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1505720
1505733,A1838,3038/2/9/1 PART 6,East Timor - Political prisoners - Human rights,1986 - 1987,1986,1987,Closed,Withheld pending adv,2015-08-10 00:00:00,Open with exception,33(1)(a),2017-10-11 00:00:00,793,2 years 63 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1505733
1759052,A1838,915/20 PART 4,United Nations - Asian - Political - Indian Ocean Committee,1980 - 1981,1980,1981,Closed,Withheld pending adv,2016-04-19 00:00:00,Open,,2017-05-12 00:00:00,388,1 years 23 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1759052
1759872,A1838,697/8/8 PART 1,"Defence policy - Indian Ocean - Indonesia - Interests, policies and activities",1972 - 1978,1972,1978,Closed,Withheld pending adv,2016-04-18 00:00:00,Open with exception,33(1)(a),2017-02-07 00:00:00,295,0 years 295 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1759872
1759937,A1838,698/6/2,Hong Kong - British reports,1967 - 1969,1967,1969,Closed,Withheld pending adv,2012-01-24 00:00:00,Open,,2017-10-30 00:00:00,2106,5 years 280 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1759937
1760426,A1838,1690/3/4 PART 4,Australian refugee policy - Relations with other countries - Iran,1983 - 1983,1983,1983,Closed,Withheld pending adv,2014-04-11 00:00:00,Open with exception,33(1)(a) | 33(1)(d),2017-10-11 00:00:00,1279,3 years 183 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1760426
1761043,A1838,720/4/9 PART 27,Australian atomic energy - Non proliferation aspects of uranium enrichment,1980 - 1980,1980,1980,Closed,Withheld pending adv,2014-02-05 00:00:00,Open with exception,33(1)(a) | Withheld pending adv,2017-10-26 00:00:00,1359,3 years 263 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1761043
1505801,A1838,3038/9/1 PART 13,Portuguese Timor - Relations with UN,1980 - 1981,1980,1981,Closed,Withheld pending adv,2011-10-18 00:00:00,Open,,2017-10-16 00:00:00,2190,5 years 364 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1505801
1505950,A1838,3038/11/64 PART 13,East Timor - Relations with Portugal,1986 - 1987,1986,1987,Closed,Withheld pending adv,2016-04-19 00:00:00,Open with exception,33(1)(a),2017-02-06 00:00:00,293,0 years 293 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1505950
1506015,A1838,3038/10/15 PART 14,Portuguese Timor - Australian aid,1979 - 1979,1979,1979,Closed,Withheld pending adv,2015-01-21 00:00:00,Open with exception,33(1)(a),2017-10-27 00:00:00,1010,2 years 280 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1506015
1510518,A1838,519/3/1/8 PART 2,Formosa - Correspondence to the Minister,1976 - 1977,1976,1977,Closed,Withheld pending adv,2016-04-19 00:00:00,Open,,2017-02-23 00:00:00,310,0 years 310 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1510518
1510703,A1838,3107/40/51 PART 1,China - Relations with United Kingdom,1945 - 1948,1945,1948,Closed,Withheld pending adv,2011-12-15 00:00:00,Open,,2017-06-27 00:00:00,2021,5 years 195 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1510703
1511132,A1838,3107/40/87 PART 29,China - Relations with Japan,1978 - 1978,1978,1978,Closed,Withheld pending adv,2016-04-19 00:00:00,Open with exception,33(1)(a) | Withheld pending adv,2017-02-21 00:00:00,308,0 years 308 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1511132
1511256,A1838,3107/16/6 PART 12,China - Fifth five year plan,1980 - 1980,1980,1980,Closed,Withheld pending adv,2016-04-19 00:00:00,Open with exception,33(1)(a),2017-02-15 00:00:00,302,0 years 302 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1511256
1511632,A1838,3107/40/147 PART 5,China - Foreign policy - Relations with India,1959 - 1959,1959,1959,Closed,Withheld pending adv,2011-09-08 00:00:00,Open with exception,33(1)(a),2017-01-11 00:00:00,1952,5 years 126 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1511632
1511641,A1838,3107/40/147 PART 11,China - Relations with India,1962 - 1962,1962,1962,Closed,Withheld pending adv,2015-05-06 00:00:00,Open with exception,33(1)(a),2017-02-06 00:00:00,642,1 years 277 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1511641
1511646,A1838,3107/40/147 PART 14,China - Relations with India,1962 - 1962,1962,1962,Closed,Withheld pending adv,2011-09-07 00:00:00,Open with exception,33(1)(a),2017-08-03 00:00:00,2157,5 years 331 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1511646
1512014,A1838,3107/38/1/3 PART 1,Australia - China relations - Annual review,1973 - 1994,1973,1994,Closed,Withheld pending adv,2011-06-14 00:00:00,Open with exception,33(1)(a),2017-03-10 00:00:00,2096,5 years 270 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1512014
1512470,A1838,3103/11/112 PART 4,Japan - Relations with Cambodia,1978 - 1979,1978,1979,Closed,Withheld pending adv,2010-09-22 00:00:00,Open with exception,33(1)(a),2017-11-22 00:00:00,2618,7 years 61 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1512470
1761610,A1838,720/5/18 PART 5,Atomic Energy Agency - Israel - Relations with Australia,1986 - 1987,1986,1987,Closed,MAKE YOUR SELECTION | Withheld pending adv,2016-05-03 00:00:00,Open with exception,33(1)(a),2017-08-23 00:00:00,477,1 years 112 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1761610
1761627,A1838,720/5/22 PART 7,Atomic energy - Australia - Relations with China,1984 - 1984,1984,1984,Closed,Withheld pending adv,2014-03-05 00:00:00,Open with exception,33(1)(a),2017-10-19 00:00:00,1324,3 years 228 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1761627
1761747,A1838,720/5/50 PART 7,Atomic Energy  - Australia - Relations with Iran,1979 - 1984,1979,1984,Closed,33(1)(a) | Withheld pending adv,2016-06-14 00:00:00,Open with exception,33(1)(a),2017-10-18 00:00:00,491,1 years 126 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1761747
1762040,A1838,1735/5/1,Law of the sea - 3rd conference - 2nd session - 1st Committee,1974 - 1975,1974,1975,Closed,Withheld pending adv,2016-07-13 00:00:00,Open,,2017-10-03 00:00:00,447,1 years 82 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1762040
1762044,A1838,1735/5/3 PART 1,Law of the sea - Third conference - Second session - Third Committee,1974 - 1984,1974,1984,Closed,Withheld pending adv,2016-07-13 00:00:00,Open,,2017-10-03 00:00:00,447,1 years 82 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1762044
1762045,A1838,1735/6/1 PART 1,Law of the sea - Third session - First Committee,1974 - 1975,1974,1975,Closed,Withheld pending adv,2016-07-13 00:00:00,Open,,2017-11-08 00:00:00,483,1 years 118 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1762045
1513496,A1838,3127/2/9/2 PART 2,Republic of Korea - Internal security - Dissident activities,1979 - 1980,1979,1980,Closed,Withheld pending adv,2014-01-10 00:00:00,Open with exception,33(1)(a),2017-01-17 00:00:00,1103,3 years 7 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1513496
1513655,A1838,3127/11/161 PART 14,Korea - Relations with USA,1976 - 1977,1976,1977,Closed,Withheld pending adv,2011-04-08 00:00:00,Open with exception,33(1)(a) | Withheld pending adv,2017-04-13 00:00:00,2197,6 years 6 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1513655
1513741,A1838,3125/10/1 PART 14,North Korea - Relations with Australia,1981 - 1982,1981,1982,Closed,Withheld pending adv,2014-02-06 00:00:00,Open with exception,33(1)(a) | 33(1)(g),2017-10-19 00:00:00,1351,3 years 255 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1513741
1513745,A1838,3127/1/1 PART 11,Korea - Internal and general - Republic of Korea economy,1981 - 1981,1981,1981,Closed,Withheld pending adv,2016-05-25 00:00:00,Open with exception,33(1)(a),2017-02-21 00:00:00,272,0 years 272 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1513745
1514072,A1838,3081/11/5/3/1 PART 87,Papua New Guinea - Bilateral relations - Papua New Guinea/Indonesia border,1985 - 1986,1985,1986,Closed,Withheld pending adv,2016-11-02 00:00:00,Open with exception,33(1)(a) | 33(1)(d) | 33(1)(e)(iii) | 33(1)(g) | Withheld pending adv,2017-11-29 00:00:00,392,1 years 27 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1514072
1514111,A1838,3081/11/6/1 PART 7,Papua New Guinea - Relations with USSR,1986 - 1987,1986,1987,Closed,Withheld pending adv,2017-01-04 00:00:00,Open with exception,33(1)(a) | Withheld pending adv,2017-11-23 00:00:00,323,0 years 323 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1514111
1514419,A1838,3004/12/17 PART 5,South East Asia - USSR representation - Interests and policy,1977 - 1978,1977,1978,Closed,Withheld pending adv,2016-03-15 00:00:00,Open with exception,33(1)(a),2017-01-19 00:00:00,310,0 years 310 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1514419
1514552,A1838,3000/2/9/1 PART 15,Australian policy towards Indo Chinese refugees,1978 - 1978,1978,1978,Closed,Withheld pending adv,2011-11-25 00:00:00,Open with exception,33(1)(a),2017-02-22 00:00:00,1916,5 years 90 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1514552
1871882,A1838,1628/1/17 PART 1,Treaty procedures - Australia - Treaty aspects of disapplication of Australian legalisation in Papua New Guinea,1974 - 1975,1974,1975,Closed,Withheld pending adv,2016-11-01 00:00:00,Open,,2017-06-02 00:00:00,213,0 years 213 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1871882
1872405,A1838,1738/2 PART 1,Antarctica - Ministerial cabinet/ministerial submissions,1975 - 1977,1975,1977,Closed,Withheld pending adv,2010-09-22 00:00:00,Open with exception,33(1)(a),2017-08-23 00:00:00,2527,6 years 336 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1872405
1872981,A1838,155/21/1 PART 17,Africa - General - Indian Ocean - Political,1983 - 1983,1983,1983,Closed,Withheld pending adv,2016-05-03 00:00:00,Open with exception,Withheld pending adv,2017-03-09 00:00:00,310,0 years 310 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1872981
1873077,A1838,175/10/1 PART 22,Israel - Political - Relations with Australia,1982 - 1982,1982,1982,Closed,Withheld pending adv,2015-08-03 00:00:00,Open with exception,33(1)(a) | 33(1)(d),2017-03-24 00:00:00,599,1 years 234 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1873077
1514693,A1838,3004/10/2 PART 2,South East Asia - Indo Chinese refugees - Australian policy,1979 - 1979,1979,1979,Closed,Withheld pending adv,2011-05-19 00:00:00,Open with exception,33(1)(j),2017-12-20 00:00:00,2407,6 years 216 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1514693
1514804,A1838,3005/11/52 PART 5,ASEAN - Relations with USSR,1980 - 1980,1980,1980,Closed,Withheld pending adv,2016-05-25 00:00:00,Open with exception,33(1)(a),2017-02-13 00:00:00,264,0 years 264 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1514804
